m_c,filtered_events,gmm_log10_eta0,gmm_eta0,strong_links_at_gmm,strong_percent_at_gmm,low_eta_mean,high_eta_mean
2.0,96315,-5.465394067983455,3.4245690866683006e-06,30358,31.519820586830576,-6.521828749791665,-4.2708552571981855
2.5,55342,-5.519209753014103,3.0254518600986344e-06,17508,31.636580473789778,-6.62709727391531,-4.29457358400024
