target,task,metric,lightgbm,random_forest,rf_minus_lightgbm,winner
aftershock_24h,classification,roc_auc,0.9788309644636087,0.9635593885658185,-0.015271575897790268,lightgbm
aftershock_24h,classification,average_precision,0.9658766477682712,0.938404704513728,-0.027471943254543163,lightgbm
aftershock_24h,classification,brier,0.0527187024144668,0.08480503743100158,0.03208633501653478,lightgbm
aftershock_24h,classification,precision_at_0_5,0.8599640933572711,0.9389333695209662,0.07896927616369509,random_forest
aftershock_24h,classification,recall_at_0_5,0.9368684124741932,0.7518200586765186,-0.1850483537976746,lightgbm
aftershock_24h,classification,predicted_positive_rate_at_0_5,0.360673429743147,0.26509101374199584,-0.09558241600115114,lightgbm
aftershock_dist_0_10km_24h,classification,roc_auc,0.9627058714215871,0.9533556493762951,-0.009350222045292012,lightgbm
aftershock_dist_0_10km_24h,classification,average_precision,0.9108039785345187,0.8833081755683291,-0.027495802966189586,lightgbm
aftershock_dist_0_10km_24h,classification,brier,0.06586715235701081,0.12243677840060073,0.05656962604358992,lightgbm
aftershock_dist_0_10km_24h,classification,precision_at_0_5,0.8546850561637992,0.9641666666666666,0.10948161050286742,random_forest
aftershock_dist_0_10km_24h,classification,recall_at_0_5,0.7986978474621312,0.15373372309327665,-0.6449641243688546,lightgbm
aftershock_dist_0_10km_24h,classification,predicted_positive_rate_at_0_5,0.253003813223973,0.043168573278653144,-0.20983523994531983,lightgbm
aftershock_dist_10_25km_24h,classification,roc_auc,0.9767411749346767,0.9629944113147157,-0.013746763619960967,lightgbm
aftershock_dist_10_25km_24h,classification,average_precision,0.938380920898603,0.8999504264361443,-0.03843049446245872,lightgbm
aftershock_dist_10_25km_24h,classification,brier,0.05553500429800389,0.0954923278517905,0.03995732355378661,lightgbm
aftershock_dist_10_25km_24h,classification,precision_at_0_5,0.806131650135257,0.9431316541158141,0.13700000398055712,random_forest
aftershock_dist_10_25km_24h,classification,recall_at_0_5,0.9499269491300305,0.4824013813255412,-0.4675255678044893,lightgbm
aftershock_dist_10_25km_24h,classification,predicted_positive_rate_at_0_5,0.3191596517735089,0.13853514641341103,-0.1806245053600979,lightgbm
aftershock_dist_25_50km_24h,classification,roc_auc,0.9830527711095379,0.974131752072396,-0.00892101903714193,lightgbm
aftershock_dist_25_50km_24h,classification,average_precision,0.9300683416289576,0.8986345643625278,-0.03143377726642982,lightgbm
aftershock_dist_25_50km_24h,classification,brier,0.044544727656939294,0.07394168305265979,0.029396955395720493,lightgbm
aftershock_dist_25_50km_24h,classification,precision_at_0_5,0.8318840579710145,0.9150450878025629,0.08316102983154838,random_forest
aftershock_dist_25_50km_24h,classification,recall_at_0_5,0.9483328326824872,0.5791528987683989,-0.3691799339140883,lightgbm
aftershock_dist_25_50km_24h,classification,predicted_positive_rate_at_0_5,0.2730412259874811,0.1515936398302036,-0.12144758615727749,lightgbm
aftershock_dist_50_100km_24h,classification,roc_auc,0.97259026740924,0.9644514227902707,-0.008138844618969299,lightgbm
aftershock_dist_50_100km_24h,classification,average_precision,0.841354653659534,0.8073888705369172,-0.03396578312261678,lightgbm
aftershock_dist_50_100km_24h,classification,brier,0.06766374182347142,0.059641377776520794,-0.008022364046950621,random_forest
aftershock_dist_50_100km_24h,classification,precision_at_0_5,0.6114212108200945,0.7844208105777523,0.17299959975765777,random_forest
aftershock_dist_50_100km_24h,classification,recall_at_0_5,0.9665158371040724,0.617420814479638,-0.34909502262443437,lightgbm
aftershock_dist_50_100km_24h,classification,predicted_positive_rate_at_0_5,0.2513490179149579,0.12515288869702856,-0.12619612921792933,lightgbm
aftershock_dist_100_200km_24h,classification,roc_auc,0.9620711597525458,0.9667588135299144,0.004687653777368683,random_forest
aftershock_dist_100_200km_24h,classification,average_precision,0.6831846519422654,0.7081742070104416,0.02498955506817624,random_forest
aftershock_dist_100_200km_24h,classification,brier,0.11659578700205639,0.04922355589158751,-0.06737223111046889,random_forest
aftershock_dist_100_200km_24h,classification,precision_at_0_5,0.32019217182421933,0.7976054732041049,0.4774133013798856,random_forest
aftershock_dist_100_200km_24h,classification,recall_at_0_5,0.9667235494880546,0.5968430034129693,-0.36988054607508536,lightgbm
aftershock_dist_100_200km_24h,classification,predicted_positive_rate_at_0_5,0.2545866609108569,0.06309806460896468,-0.19148859630189224,lightgbm
aftershock_dist_200_pluskm_24h,classification,roc_auc,0.9462796128884903,0.8942404904004203,-0.05203912248806997,lightgbm
aftershock_dist_200_pluskm_24h,classification,average_precision,0.7374793853908875,0.410310666500692,-0.32716871889019555,lightgbm
aftershock_dist_200_pluskm_24h,classification,brier,0.032137921032000485,0.05096201691220342,0.018824095880202937,lightgbm
aftershock_dist_200_pluskm_24h,classification,precision_at_0_5,0.6897347174163783,0.8333333333333334,0.1435986159169551,random_forest
aftershock_dist_200_pluskm_24h,classification,recall_at_0_5,0.6738028169014084,0.0028169014084507044,-0.6709859154929577,lightgbm
aftershock_dist_200_pluskm_24h,classification,predicted_positive_rate_at_0_5,0.06237858838765379,0.0002158428663932657,-0.062162745521260526,lightgbm
max_aftershock_mag_24h,regression_positive_cases_only,mae,0.8659128071420251,0.7410277318311743,-0.1248850753108508,random_forest
max_aftershock_mag_24h,regression_positive_cases_only,rmse,1.041880283673559,0.9091056647997349,-0.13277461887382414,random_forest
max_aftershock_mag_24h,regression_positive_cases_only,r2,0.15109480736028147,0.3536730297242838,0.20257822236400236,random_forest
