log10_eta_bin_lower,log10_eta_bin_upper,event_count
-11.200,-11.100,2
-10.900,-10.800,1
-10.800,-10.700,3
-10.500,-10.400,2
-10.400,-10.300,4
-10.300,-10.200,7
-10.200,-10.100,4
-10.100,-10.000,9
-10.000,-9.900,13
-9.900,-9.800,18
-9.800,-9.700,22
-9.700,-9.600,18
-9.600,-9.500,33
-9.500,-9.400,39
-9.400,-9.300,53
-9.300,-9.200,58
-9.200,-9.100,84
-9.100,-9.000,104
-9.000,-8.900,148
-8.900,-8.800,125
-8.800,-8.700,177
-8.700,-8.600,204
-8.600,-8.500,263
-8.500,-8.400,277
-8.400,-8.300,315
-8.300,-8.200,384
-8.200,-8.100,461
-8.100,-8.000,470
-8.000,-7.900,534
-7.900,-7.800,601
-7.800,-7.700,687
-7.700,-7.600,834
-7.600,-7.500,783
-7.500,-7.400,953
-7.400,-7.300,1030
-7.300,-7.200,1120
-7.200,-7.100,1204
-7.100,-7.000,1274
-7.000,-6.900,1354
-6.900,-6.800,1421
-6.800,-6.700,1436
-6.700,-6.600,1514
-6.600,-6.500,1595
-6.500,-6.400,1634
-6.400,-6.300,1636
-6.300,-6.200,1700
-6.200,-6.100,1724
-6.100,-6.000,1712
-6.000,-5.900,1846
-5.900,-5.800,1863
-5.800,-5.700,1886
-5.700,-5.600,1944
-5.600,-5.500,2055
-5.500,-5.400,2175
-5.400,-5.300,2358
-5.300,-5.200,2552
-5.200,-5.100,2649
-5.100,-5.000,2937
-5.000,-4.900,3169
-4.900,-4.800,3371
-4.800,-4.700,3614
-4.700,-4.600,3950
-4.600,-4.500,4279
-4.500,-4.400,4485
-4.400,-4.300,4579
-4.300,-4.200,4910
-4.200,-4.100,4941
-4.100,-4.000,4816
-4.000,-3.900,4771
-3.900,-3.800,4423
-3.800,-3.700,4165
-3.700,-3.600,3641
-3.600,-3.500,3182
-3.500,-3.400,2604
-3.400,-3.300,2195
-3.300,-3.200,1613
-3.200,-3.100,1180
-3.100,-3.000,810
-3.000,-2.900,516
-2.900,-2.800,288
-2.800,-2.700,151
-2.700,-2.600,91
-2.600,-2.500,50
-2.500,-2.400,25
-2.400,-2.300,19
-2.300,-2.200,7
-2.200,-2.100,2
-2.100,-2.000,4
-2.000,-1.900,2
-1.800,-1.700,2
-1.600,-1.500,1
