log10_eta0,eta0,strong_links_eta_lt_eta0,weak_links_eta_ge_eta0,strong_percent
-6.0,1e-06,28044,94121,22.955838415258054
-5.5,3.162277660168379e-06,37638,84527,30.809151557320018
-5.468679834899335,3.3987573916210332e-06,38314,83851,31.36250153480948
-5.0,1e-05,50309,71856,41.18118937502558
-4.5,3.1622776601683795e-05,68692,53473,56.22887078950599
