log10_eta_bin_lower,log10_eta_bin_upper,event_count
-11.200,-11.100,2
-10.800,-10.700,2
-10.500,-10.400,2
-10.400,-10.300,1
-10.300,-10.200,3
-10.100,-10.000,3
-10.000,-9.900,6
-9.900,-9.800,10
-9.800,-9.700,3
-9.700,-9.600,9
-9.600,-9.500,17
-9.500,-9.400,18
-9.400,-9.300,22
-9.300,-9.200,26
-9.200,-9.100,34
-9.100,-9.000,48
-9.000,-8.900,54
-8.900,-8.800,59
-8.800,-8.700,69
-8.700,-8.600,81
-8.600,-8.500,80
-8.500,-8.400,93
-8.400,-8.300,93
-8.300,-8.200,120
-8.200,-8.100,141
-8.100,-8.000,131
-8.000,-7.900,169
-7.900,-7.800,153
-7.800,-7.700,199
-7.700,-7.600,230
-7.600,-7.500,223
-7.500,-7.400,273
-7.400,-7.300,257
-7.300,-7.200,275
-7.200,-7.100,277
-7.100,-7.000,330
-7.000,-6.900,324
-6.900,-6.800,335
-6.800,-6.700,300
-6.700,-6.600,337
-6.600,-6.500,356
-6.500,-6.400,352
-6.400,-6.300,328
-6.300,-6.200,386
-6.200,-6.100,377
-6.100,-6.000,360
-6.000,-5.900,386
-5.900,-5.800,409
-5.800,-5.700,424
-5.700,-5.600,410
-5.600,-5.500,410
-5.500,-5.400,474
-5.400,-5.300,498
-5.300,-5.200,522
-5.200,-5.100,595
-5.100,-5.000,644
-5.000,-4.900,689
-4.900,-4.800,718
-4.800,-4.700,771
-4.700,-4.600,823
-4.600,-4.500,965
-4.500,-4.400,1046
-4.400,-4.300,1021
-4.300,-4.200,1058
-4.200,-4.100,1076
-4.100,-4.000,1066
-4.000,-3.900,999
-3.900,-3.800,915
-3.800,-3.700,820
-3.700,-3.600,766
-3.600,-3.500,663
-3.500,-3.400,530
-3.400,-3.300,451
-3.300,-3.200,332
-3.200,-3.100,236
-3.100,-3.000,169
-3.000,-2.900,129
-2.900,-2.800,78
-2.800,-2.700,47
-2.700,-2.600,27
-2.600,-2.500,13
-2.500,-2.400,7
-2.400,-2.300,5
-2.300,-2.200,5
-2.200,-2.100,1
-2.100,-2.000,1
-1.900,-1.800,1
