log10_eta0,eta0,strong_links_eta_lt_eta0,weak_links_eta_ge_eta0,strong_percent
-6.0,1e-06,22279,74035,23.13163195381772
-5.5,3.162277660168379e-06,29791,66523,30.931121124654776
-5.467018992360526,3.411779910614172e-06,30337,65977,31.498016903046288
-5.0,1e-05,39620,56694,41.13628340635837
-4.5,3.1622776601683795e-05,54085,42229,56.15486845110783
