log10_eta0,eta0,strong_links_eta_lt_eta0,weak_links_eta_ge_eta0,strong_percent
-6.0,1e-06,67397,202755,24.947807160413397
-5.5,3.162277660168379e-06,85935,184217,31.809869999111612
-5.811898800645318,1.5420597420417747e-06,73584,196568,27.237999348514908
-5.0,1e-05,115930,154222,42.91287867570849
-4.5,3.1622776601683795e-05,164702,105450,60.966418904912786
