log10_eta0,eta0,strong_links_eta_lt_eta0,weak_links_eta_ge_eta0,strong_percent
-6.0,1e-06,28187,95859,22.723022104703094
-5.5,3.162277660168379e-06,37933,86113,30.579784918497978
-5.469877525168894,3.389397266213024e-06,38598,85448,31.115876368443963
-5.0,1e-05,50840,73206,40.984795962788
-4.5,3.1622776601683795e-05,69587,54459,56.09773793592699
