feature,importance
is_strong_link,0.6589736
eta,0.0872474
log10_eta,0.030370198
local_max_mag_100km_past_1d,0.027988903
magnitude,0.011061473
local_max_mag_50km_past_1d,0.009470929
local_max_mag_50km_past_7d,0.009324992
latitude,0.009216975
local_max_mag_50km_past_30d,0.007762745
local_log10_energy_50km_past_7d,0.0069832182
parent_magnitude,0.0063661574
local_log10_energy_100km_past_1d,0.0062996163
parent_distance_km,0.005265149
event_dayofyear,0.005157606
local_events_25km_past_1d,0.005025014
nearest_recent_event_age_days_past_30d,0.0050012595
parent_depth_km,0.004924478
local_log10_energy_25km_past_1d,0.0048393505
local_log10_energy_50km_past_1d,0.004517123
local_events_50km_past_30d,0.004313309
events_past_1d,0.00417693
local_log10_energy_100km_past_7d,0.00413655
event_month,0.004091491
local_events_50km_past_1d,0.0040847976
local_events_25km_past_30d,0.004048738
parent_time_gap_days,0.0039145118
depth_km,0.0036062726
local_events_25km_past_7d,0.0033154374
events_past_30d,0.0031556918
event_year,0.0030534528
events_past_7d,0.0028761711
local_events_10km_past_1d,0.0028576537
local_max_mag_25km_past_1d,0.0025011639
longitude,0.0024939505
local_events_10km_past_30d,0.0024614367
local_events_100km_past_1d,0.0024454521
local_max_mag_100km_past_7d,0.0022579387
local_max_mag_25km_past_7d,0.002256205
local_events_100km_past_7d,0.0021954821
local_max_mag_100km_past_30d,0.0019672448
local_events_10km_past_7d,0.0019233602
local_log10_energy_25km_past_7d,0.0019061862
local_log10_energy_100km_past_30d,0.0018186048
local_events_50km_past_7d,0.001766863
local_log10_energy_25km_past_30d,0.0017533553
local_max_mag_10km_past_30d,0.0016630307
local_log10_energy_10km_past_30d,0.001645958
local_log10_energy_10km_past_7d,0.0016034411
local_max_mag_25km_past_30d,0.0015777415
local_events_100km_past_30d,0.0015564397
local_log10_energy_10km_past_1d,0.0015071415
local_log10_energy_50km_past_30d,0.0014875279
local_max_mag_10km_past_7d,0.0014726685
event_weekday,0.0014683924
nearest_recent_event_distance_km_past_30d,0.0014588531
event_hour,0.0012560554
nearest_recent_event_magnitude_past_30d,0.0010853801
local_max_mag_10km_past_1d,0.0010430247
has_parent,0.0
