feature,importance
is_strong_link,0.55556196
local_max_mag_100km_past_30d,0.07554161
local_log10_energy_100km_past_1d,0.051209383
eta,0.04137591
local_log10_energy_100km_past_30d,0.027595883
local_log10_energy_50km_past_1d,0.021553105
parent_distance_km,0.021449545
event_month,0.017033735
local_max_mag_100km_past_1d,0.011324801
local_events_50km_past_30d,0.0097618345
local_log10_energy_100km_past_7d,0.008792458
event_year,0.0083438475
magnitude,0.008315116
local_events_25km_past_30d,0.008133028
parent_magnitude,0.0077142757
events_past_1d,0.007688385
local_log10_energy_25km_past_1d,0.0074149114
event_dayofyear,0.007200764
event_weekday,0.005052348
parent_time_gap_days,0.0049146977
log10_eta,0.0047256616
local_events_100km_past_30d,0.004472376
local_max_mag_50km_past_1d,0.0040720315
local_events_10km_past_30d,0.0040206662
local_max_mag_100km_past_7d,0.0038807134
latitude,0.0038146952
longitude,0.0038082458
events_past_30d,0.0036276034
local_events_10km_past_7d,0.0035744046
local_events_100km_past_1d,0.003061836
local_log10_energy_10km_past_7d,0.0026311856
local_events_25km_past_7d,0.0026168444
local_max_mag_10km_past_7d,0.0024961322
local_events_25km_past_1d,0.0024847668
local_log10_energy_10km_past_30d,0.0024665205
events_past_7d,0.002418372
local_max_mag_25km_past_1d,0.0023955638
local_log10_energy_50km_past_7d,0.0023509557
local_events_50km_past_1d,0.0023201527
local_events_100km_past_7d,0.0022707079
parent_depth_km,0.002127734
local_log10_energy_10km_past_1d,0.0021044202
local_log10_energy_25km_past_7d,0.002074113
local_events_10km_past_1d,0.001978131
local_max_mag_25km_past_7d,0.001947852
local_max_mag_50km_past_7d,0.0019344531
local_events_50km_past_7d,0.0019291579
local_max_mag_10km_past_1d,0.0018247854
local_max_mag_10km_past_30d,0.0018001556
local_log10_energy_25km_past_30d,0.0017623667
event_hour,0.0017326144
nearest_recent_event_age_days_past_30d,0.0015812196
local_max_mag_50km_past_30d,0.0015075762
local_log10_energy_50km_past_30d,0.0014448671
nearest_recent_event_magnitude_past_30d,0.0013087294
nearest_recent_event_distance_km_past_30d,0.0011979269
local_max_mag_25km_past_30d,0.0011859215
depth_km,0.0010707184
has_parent,0.0
