event_id,nn_log_eta_b0
0,
1,1.8846433574648982
2,7.118343965244771
3,6.473910401693102
4,5.320857333775683
5,7.10946970005061
6,6.3940871090154845
7,6.143820954812321
8,-0.5468915664831395
9,5.606060950023911
10,7.1639175144438605
11,1.1776404144383779
12,3.715483714913426
13,6.305160325604314
14,2.9375425033456355
15,5.801728200722666
16,6.6905178649048676
17,6.210136747420435
18,7.231504660100328
19,6.456921938655215
20,5.967716284894193
21,6.316133271393233
22,5.891192934738939
23,5.839091744719653
24,2.8314203259967647
25,2.1478231712223352
26,5.578591958061068
27,5.180900254081565
28,4.741221161559478
29,6.263924975007976
30,5.815696889213873
31,5.430778389089697
32,5.936698301955261
33,5.593296150763559
34,5.737660915933583
35,5.318412086752136
36,5.95708837203591
37,5.116850629950079
38,5.782329737299286
39,6.038205933436048
40,2.5243844690432264
41,2.918949623337947
42,-0.19003167264145793
43,6.174211241863475
44,6.189827259409742
45,5.731726160265575
46,6.224174651370931
47,6.197991221707339
48,6.0730429249074795
49,5.812032480320573
50,5.838015597991417
51,6.988992780639723
52,6.111612539080654
53,6.356957256201932
54,6.035121156050258
55,6.193769943186965
56,6.095306167343455
57,5.9175848923147125
58,6.382760222683
59,6.345067368306518
60,6.4058878064961124
61,6.1807676770945905
62,2.2219649105213772
63,6.01727947761564
64,5.555128824496794
65,6.255525741143794
66,6.744824944758047
67,6.22640106575075
68,6.235195186914126
69,5.628153621743179
70,5.2072058662648635
71,6.0505587958362606
72,2.3266056178798324
73,5.004311179439126
74,6.455984193904178
75,5.626413635327301
76,4.751559667462973
77,2.378379979434814
78,-2.5488474775526186
79,-1.8601860085975732
80,6.3629308617776825
81,4.071561854506028
82,6.202375169912276
83,4.962488172367678
84,5.293520859200692
85,5.970139064594674
86,5.751549135928261
87,5.445752559068872
88,1.4860672854607153
89,1.7320969637243935
90,6.105866490554092
91,5.696003147053175
92,6.0550023581432235
93,6.008578509997207
94,0.8997643829051158
95,6.073468240085717
96,5.348114208168766
97,5.06100424428948
98,5.943729314198051
99,4.61903057146772
100,6.52903460596951
101,5.670933608130846
102,4.886203923039134
103,5.3496414366250615
104,4.607013438878321
105,4.442887820246444
106,4.452668477995447
107,4.778275874609176
108,5.659905237529145
109,4.817673021471738
110,5.076992809657854
111,5.077172635625192
112,4.219788014806665
113,5.388115880317075
114,5.390906481203244
115,5.286436609804002
116,3.839684963550958
117,4.72659768627117
118,4.942480874026872
119,4.863314386895381
120,5.4274277944469365
121,5.782541681345159
122,5.382419423503217
123,4.935024490087308
124,5.381129267158717
125,5.381129267158717
126,5.618026028268135
127,5.793615552884015
128,4.9978457922541315
129,4.807923094001623
130,4.8039614241975706
131,3.8324733494996694
132,3.905329768027727
133,4.94925428837665
134,4.525499762051989
135,4.639346473201737
136,2.6478111787099436
137,5.154776768589237
138,3.9767677244322357
139,4.12244819821271
140,4.4239181089509625
141,4.600619342995913
142,5.5403146654966475
143,1.1050636460091345
144,4.950888550775946
145,5.519858259939986
146,5.0814135843844275
147,-0.027666535272456994
148,1.1318916624604818
149,4.926272174807347
150,6.135316880687503
151,4.407021344147246
152,4.767999991502739
153,4.177222469821928
154,5.389285772260832
155,4.758145440052437
156,5.242771892671948
157,3.909666253143264
158,5.779839481297689
159,4.96226958682823
160,4.046939566522646
161,2.906088745581837
162,4.036904314982351
163,5.464057216000818
164,5.594191622712161
165,4.646243361910982
166,5.90025102432831
167,4.680760563235824
168,5.8038558688059805
169,4.006395017985891
170,4.243505043423155
171,4.727775848525106
172,5.333733287634219
173,5.0836619336873845
174,4.184146250986562
175,5.7937890684359505
176,4.779134950417655
177,4.90178517467605
178,5.845476245041815
179,4.428734712347923
180,3.7434328936603567
181,5.559691186885031
182,1.5181146997547466
183,2.621951772282072
184,1.6534654774800122
185,1.8002554726289466
186,2.8422985184038567
187,2.1075394085431722
188,1.952699697680021
189,3.0934469342452653
190,2.0057984414625465
191,2.670463131700997
192,2.734684235781741
193,3.3085070505876213
194,5.032120399137068
195,2.4236022317115316
196,3.57219789358302
197,2.4970080129907037
198,0.6487535415642073
199,1.5878609411339655
200,2.4602636083865987
201,2.798228828034643
202,4.532505680714847
203,3.110329657004959
204,3.77929896248006
205,4.047959891553202
206,4.242407484307716
207,5.0386271644981155
208,3.770682512751081
209,3.0885960827586176
210,4.0087825277699345
211,3.561692462410898
212,5.042554877107591
213,4.136331613483086
214,4.719313339948264
215,-1.2381004536295246
216,4.03912195139377
217,3.524668583176278
218,5.313129367329556
219,4.126613109861063
220,5.373148833230299
221,4.160077462441854
222,4.734505574663057
223,1.2979900409591245
224,1.379575215703032
225,4.573525672076425
226,4.5738334278827
227,4.48073359079166
228,2.769464576549002
229,2.8990679190021327
230,3.732813606161182
231,5.475068988653347
232,4.5543518599937585
233,5.09216539711437
234,5.055425106162471
235,5.451486752131848
236,0.5976704466307043
237,1.62714186013512
238,3.3312412225462875
239,3.0537657250609858
240,5.182618922238378
241,4.937322261392269
242,3.5655716081370414
243,3.919642074443758
244,1.2833045084476893
245,0.7993237743117607
246,0.26575170804957615
247,0.28531264850128357
248,0.34679913395234907
249,1.7730961763057678
250,2.017018314430478
251,1.9324294698813258
252,1.522168203873917
253,0.07631652290121771
254,-0.1512828350101214
255,0.902732313123515
256,2.883003858034781
257,-0.3229959704456271
258,-0.9575196328471116
259,0.43873936736141284
260,0.41374958294033415
261,0.548448641093954
262,0.5337372991254627
263,1.3397573101788294
264,1.761579423961188
265,1.9809781429720037
266,2.8575063083813173
267,2.310180001632193
268,4.689511835187824
269,2.8556927785001855
270,2.3850550772909735
271,5.222148969217839
272,5.46315534791756
273,3.113474785455307
274,3.340016440680337
275,4.670183764367772
276,5.236803349056604
277,3.9205075004089758
278,3.4893973300080767
279,4.52524084130673
280,4.2674127097764565
281,2.235570566263992
282,2.3034677840520903
283,5.4072138812789055
284,4.4152482233285575
285,5.431840454038692
286,5.177667956118059
287,3.5412650376348
288,3.4901315254683962
289,3.943278914990141
290,3.907639847984745
291,3.657340437887042
292,5.888027037348303
293,4.168657962871004
294,3.756616359820425
295,4.354273179342938
296,5.181237367521892
297,4.024101901487143
298,4.516633213120229
299,4.792540893064352
300,3.6039099739434737
301,2.922158270722367
302,4.823309880147486
303,4.9602033677983774
304,4.80078402649907
305,4.664838919445892
306,4.263010026386425
307,5.2904913163341405
308,-0.3476597770080079
309,1.3985898505981846
310,1.1165855716229314
311,1.785233426971285
312,5.242881410042746
313,5.08210822442828
314,2.5482428715359373
315,4.771655180030393
316,4.483752190025284
317,4.47805065677177
318,4.873997394100489
319,4.092186571497552
320,4.450206443287471
321,5.3322334371582745
322,4.988656879130868
323,4.660316545118871
324,1.8236127384158858
325,1.1741725869460014
326,0.4804774415202684
327,1.3314711142795712
328,0.6673404372067564
329,0.6348870555439687
330,0.5228730449691048
331,1.4318072840021383
332,1.9136175332846723
333,1.0604153458117198
334,0.8943332243480353
335,1.3557049477251761
336,0.7721120464098246
337,0.5281183942196486
338,1.6421521643156105
339,1.6697719936949502
340,0.9035586408292864
341,0.8991447423634771
342,2.0848046488548793
343,2.28337622441913
344,2.3375969386603526
345,0.38026536488783935
346,2.060424997229386
347,2.153114326168002
348,3.537760302330649
349,1.3758796859663618
350,4.85336128318863
351,2.4615234897753524
352,1.996182865265094
353,2.284477761461966
354,1.581120783578227
355,0.7495783593371382
356,2.0825434868940853
357,2.5391440720048326
358,2.6877492333934567
359,3.062593825064834
360,4.712281305419144
361,2.810699304626115
362,3.0122713885803147
363,2.8186511202424462
364,4.625507819782946
365,3.7232304432715564
366,3.907333804107949
367,5.309193844875002
368,4.71780001736089
369,4.453754424684297
370,5.535946485270236
371,5.2241708102355116
372,5.128677961065779
373,3.1242004835369217
374,3.4449731802223913
375,3.113263887786993
376,3.4634322759297174
377,3.952445874711687
378,3.9674219058440316
