log10_eta0,eta0,strong_links_eta_lt_eta0,weak_links_eta_ge_eta0,strong_percent
-6.0,1e-06,27362,92363,22.85404050950094
-5.5,3.162277660168379e-06,36777,82948,30.71789517644602
-5.467723983371592,3.4062460549428265e-06,37467,82258,31.29421591146377
-5.0,1e-05,49214,70511,41.10586761328043
-4.5,3.1622776601683795e-05,67231,52494,56.154520776780124
