log10_eta_bin_lower,log10_eta_bin_upper,event_count
-11.200,-11.100,2
-10.900,-10.800,1
-10.800,-10.700,3
-10.500,-10.400,2
-10.400,-10.300,4
-10.300,-10.200,7
-10.200,-10.100,4
-10.100,-10.000,9
-10.000,-9.900,13
-9.900,-9.800,18
-9.800,-9.700,22
-9.700,-9.600,18
-9.600,-9.500,32
-9.500,-9.400,39
-9.400,-9.300,52
-9.300,-9.200,57
-9.200,-9.100,84
-9.100,-9.000,101
-9.000,-8.900,146
-8.900,-8.800,122
-8.800,-8.700,170
-8.700,-8.600,196
-8.600,-8.500,252
-8.500,-8.400,273
-8.400,-8.300,307
-8.300,-8.200,373
-8.200,-8.100,439
-8.100,-8.000,461
-8.000,-7.900,519
-7.900,-7.800,585
-7.800,-7.700,668
-7.700,-7.600,813
-7.600,-7.500,760
-7.500,-7.400,926
-7.400,-7.300,1009
-7.300,-7.200,1087
-7.200,-7.100,1172
-7.100,-7.000,1235
-7.000,-6.900,1317
-6.900,-6.800,1381
-6.800,-6.700,1406
-6.700,-6.600,1468
-6.600,-6.500,1563
-6.500,-6.400,1599
-6.400,-6.300,1608
-6.300,-6.200,1660
-6.200,-6.100,1691
-6.100,-6.000,1688
-6.000,-5.900,1812
-5.900,-5.800,1836
-5.800,-5.700,1843
-5.700,-5.600,1912
-5.600,-5.500,2012
-5.500,-5.400,2133
-5.400,-5.300,2312
-5.300,-5.200,2511
-5.200,-5.100,2600
-5.100,-5.000,2881
-5.000,-4.900,3117
-4.900,-4.800,3307
-4.800,-4.700,3514
-4.700,-4.600,3879
-4.600,-4.500,4200
-4.500,-4.400,4396
-4.400,-4.300,4506
-4.300,-4.200,4836
-4.200,-4.100,4842
-4.100,-4.000,4719
-4.000,-3.900,4697
-3.900,-3.800,4355
-3.800,-3.700,4084
-3.700,-3.600,3563
-3.600,-3.500,3127
-3.500,-3.400,2550
-3.400,-3.300,2153
-3.300,-3.200,1574
-3.200,-3.100,1153
-3.100,-3.000,798
-3.000,-2.900,505
-2.900,-2.800,285
-2.800,-2.700,148
-2.700,-2.600,91
-2.600,-2.500,50
-2.500,-2.400,25
-2.400,-2.300,19
-2.300,-2.200,7
-2.200,-2.100,2
-2.100,-2.000,4
-2.000,-1.900,2
-1.800,-1.700,2
-1.600,-1.500,1
