event_id,event_time,latitude,longitude,depth_km,magnitude,nn_log_eta_b0,parent_id,parent_distance_km,parent_dt_days,parent_lat,parent_lon,parent_depth
10208,2019-04-17 15:25:00,9.65,126.24,32.0,1.5,-8.32358958073647,8743.0,0.0,54.827777777777776,9.65,126.24,32.0
10641,2019-04-26 14:14:00,9.77,126.68,9.0,2.0,-9.749074517394293,10547.0,0.0,2.058333333333333,9.77,126.68,9.0
10719,2019-04-27 00:06:00,9.59,126.22,17.0,1.7,-8.633219308103333,9731.0,0.0,26.87638888888889,9.59,126.22,17.0
10722,2019-04-27 00:51:00,9.71,126.37,21.0,2.2,-10.710407706494973,10689.0,0.0,0.225,9.71,126.37,21.0
10795,2019-04-27 18:57:00,9.75,126.58,10.0,2.7,-8.112272708095478,7866.0,0.0,89.19027777777778,9.75,126.58,10.0
10848,2019-04-28 06:09:00,9.64,126.24,22.0,2.3,-9.97053271439269,10720.0,0.0,1.2361111111111112,9.64,126.24,22.0
10890,2019-04-28 15:21:00,9.74,126.5,12.0,2.3,-8.168162617468152,8218.0,0.0,78.42013888888889,9.74,126.5,12.0
10950,2019-04-29 10:28:00,9.67,126.22,23.0,2.4,-8.16710628984933,8295.0,0.0,78.61111111111111,9.67,126.22,23.0
10964,2019-04-29 21:11:00,9.64,126.24,29.0,1.8,-8.186544871930781,8539.0,0.0,75.17013888888889,9.64,126.24,29.0
11005,2019-04-30 19:26:00,15.01,120.28,33.0,2.3,-9.162298975129215,10411.0,0.0,7.948611111111111,15.01,120.28,33.0
11009,2019-04-30 21:39:00,15.04,120.23,33.0,1.6,-9.168143388561022,10446.0,0.0,7.842361111111111,15.04,120.23,33.0
11055,2019-05-01 22:09:00,9.64,126.25,21.0,1.7,-9.58476582150286,10918.0,0.0,3.004861111111111,9.64,126.25,21.0
11064,2019-05-02 00:58:00,11.27,124.62,10.0,2.5,-7.467505252383706,2243.0,0.0,393.62708333333336,11.27,124.62,10.0
11252,2019-05-06 20:17:00,9.73,126.58,8.0,2.5,-8.125779876974747,8254.0,0.0,86.45902777777778,9.73,126.58,8.0
11452,2019-05-12 20:52:00,15.06,120.3,32.0,1.7,-8.895929916431133,10840.0,0.0,14.677777777777777,15.06,120.3,32.0
11534,2019-05-15 02:37:00,15.04,120.3,28.0,2.4,-8.735984151793101,10509.0,0.0,21.213194444444444,15.04,120.3,28.0
11839,2019-05-25 05:41:00,14.21,120.27,1.0,2.3,-8.862789353788516,11345.0,0.0,15.841666666666667,14.21,120.27,1.0
12009,2019-06-01 13:10:00,12.37,120.86,7.0,2.8,-8.618209249660572,11164.0,0.0,27.821527777777778,12.37,120.86,7.0
12075,2019-06-03 22:43:00,10.4,125.2,1.0,3.3,-7.705074900802443,5811.0,0.0,227.7798611111111,10.4,125.2,1.0
12103,2019-06-05 04:13:00,9.53,126.45,4.0,2.1,-7.9286102382027055,7691.0,0.0,136.13819444444445,9.53,126.45,4.0
12161,2019-06-07 18:58:00,9.69,126.2,34.0,1.7,-8.19427648129387,9616.0,0.0,73.84375,9.69,126.2,34.0
12249,2019-06-10 00:54:00,10.31,125.18,4.0,3.2,-7.6690028359161735,5489.0,0.0,247.50694444444446,10.31,125.18,4.0
12256,2019-06-10 02:39:00,10.36,125.27,1.0,2.8,-8.08907752872899,9077.0,0.0,94.08333333333333,10.36,125.27,1.0
12816,2019-07-02 19:59:00,8.4,125.86,9.0,2.4,-8.428862335938955,11737.0,0.0,43.02569444444445,8.4,125.86,9.0
12833,2019-07-03 07:02:00,10.39,125.19,1.0,2.9,-7.464442123245549,3266.0,0.0,396.41319444444446,10.39,125.19,1.0
12836,2019-07-03 10:08:00,15.05,120.24,33.0,1.9,-8.209411875489728,10453.0,0.0,71.31458333333333,15.05,120.24,33.0
13059,2019-07-10 22:37:00,11.92,124.1,1.0,2.1,-8.633039801210815,12367.0,0.0,26.8875,11.92,124.1,1.0
13180,2019-07-15 07:24:00,10.36,125.29,1.0,2.6,-7.690884992329276,6605.0,0.0,235.3451388888889,10.36,125.29,1.0
13183,2019-07-15 09:31:00,15.06,120.24,33.0,1.8,-8.143523033332983,10470.0,0.0,82.99791666666667,15.06,120.24,33.0
13218,2019-07-17 08:36:00,10.37,125.23,3.0,3.5,-7.611170545051518,5526.0,0.0,282.7611111111111,10.37,125.23,3.0
13314,2019-07-21 00:34:00,9.31,125.87,2.0,2.7,-9.737508068603049,13240.0,0.0,2.113888888888889,9.31,125.87,2.0
13424,2019-07-24 04:24:00,9.33,125.89,5.0,2.6,-9.052720487188163,13151.0,0.0,10.229861111111111,9.33,125.89,5.0
14047,2019-08-26 06:09:00,9.43,126.27,33.0,2.1,-7.415314591528933,3402.0,0.0,443.8902777777778,9.43,126.27,33.0
14084,2019-08-28 01:16:00,15.04,120.23,33.0,2.3,-7.986493646723597,11009.0,0.0,119.15069444444444,15.04,120.23,33.0
14272,2019-09-05 01:24:00,9.77,126.14,29.0,1.9,-7.7254472315175455,7916.0,0.0,217.34166666666667,9.77,126.14,29.0
14800,2019-09-24 19:49:00,14.1,120.36,59.0,2.1,-7.655462630179909,7579.0,0.0,255.3451388888889,14.1,120.36,59.0
14817,2019-09-25 02:37:00,10.11,123.28,33.0,2.2,-8.167835841778654,12945.0,0.0,78.47916666666667,10.11,123.28,33.0
14883,2019-09-28 03:16:00,9.64,126.17,30.0,2.2,-7.531586133109006,5925.0,0.0,339.62847222222223,9.64,126.17,30.0
15014,2019-09-30 00:18:00,5.37,126.92,48.0,3.2,-7.772933155695515,9434.0,0.0,194.83055555555555,5.37,126.92,48.0
15234,2019-10-06 12:01:00,9.68,126.21,33.0,2.0,-7.980897946982687,12162.0,0.0,120.69583333333334,9.68,126.21,33.0
15507,2019-10-16 09:28:00,9.91,126.11,26.0,1.9,-7.317277911827893,2309.0,0.0,556.3041666666667,9.91,126.11,26.0
15520,2019-10-16 20:09:00,6.76,125.01,9.0,5.5,-11.715802738381678,15517.0,0.0,0.022222222222222223,6.76,125.01,9.0
