log10_eta_bin_lower,log10_eta_bin_upper,event_count
-11.200,-11.100,2
-10.900,-10.800,1
-10.800,-10.700,2
-10.500,-10.400,2
-10.400,-10.300,1
-10.300,-10.200,3
-10.200,-10.100,2
-10.100,-10.000,7
-10.000,-9.900,9
-9.900,-9.800,14
-9.800,-9.700,8
-9.700,-9.600,11
-9.600,-9.500,23
-9.500,-9.400,28
-9.400,-9.300,36
-9.300,-9.200,36
-9.200,-9.100,51
-9.100,-9.000,72
-9.000,-8.900,91
-8.900,-8.800,84
-8.800,-8.700,104
-8.700,-8.600,128
-8.600,-8.500,142
-8.500,-8.400,152
-8.400,-8.300,180
-8.300,-8.200,206
-8.200,-8.100,244
-8.100,-8.000,246
-8.000,-7.900,299
-7.900,-7.800,308
-7.800,-7.700,366
-7.700,-7.600,441
-7.600,-7.500,405
-7.500,-7.400,503
-7.400,-7.300,510
-7.300,-7.200,530
-7.200,-7.100,569
-7.100,-7.000,606
-7.000,-6.900,645
-6.900,-6.800,653
-6.800,-6.700,629
-6.700,-6.600,669
-6.600,-6.500,716
-6.500,-6.400,746
-6.400,-6.300,703
-6.300,-6.200,734
-6.200,-6.100,786
-6.100,-6.000,738
-6.000,-5.900,811
-5.900,-5.800,847
-5.800,-5.700,841
-5.700,-5.600,848
-5.600,-5.500,898
-5.500,-5.400,940
-5.400,-5.300,1012
-5.300,-5.200,1120
-5.200,-5.100,1180
-5.100,-5.000,1293
-5.000,-4.900,1446
-4.900,-4.800,1548
-4.800,-4.700,1619
-4.700,-4.600,1779
-4.600,-4.500,1976
-4.500,-4.400,2081
-4.400,-4.300,2095
-4.300,-4.200,2249
-4.200,-4.100,2207
-4.100,-4.000,2156
-4.000,-3.900,2097
-3.900,-3.800,1973
-3.800,-3.700,1755
-3.700,-3.600,1582
-3.600,-3.500,1367
-3.500,-3.400,1139
-3.400,-3.300,934
-3.300,-3.200,691
-3.200,-3.100,492
-3.100,-3.000,355
-3.000,-2.900,249
-2.900,-2.800,144
-2.800,-2.700,69
-2.700,-2.600,49
-2.600,-2.500,24
-2.500,-2.400,13
-2.400,-2.300,9
-2.300,-2.200,8
-2.100,-2.000,2
-2.000,-1.900,1
-1.400,-1.300,1
