log10_eta0,eta0,strong_links_eta_lt_eta0,weak_links_eta_ge_eta0,strong_percent
-6.0,1e-06,41766,124929,25.055340592099345
-5.5,3.162277660168379e-06,54379,112316,32.62185428477159
-5.547282313571775,2.836074835751608e-06,53083,113612,31.84438645430277
-5.0,1e-05,71938,94757,43.1554635711929
-4.5,3.1622776601683795e-05,98975,67720,59.37490626593479
