feature,importance
log10_eta,0.17982162965638832
is_strong_link,0.16184175478676838
parent_distance_km,0.04737916819463096
eta,0.032769661194061585
magnitude,0.029802251030440374
parent_time_gap_days,0.02933988778901125
local_log10_energy_25km_past_1d,0.027724173571043023
nearest_recent_event_age_days_past_30d,0.021852842309531474
local_log10_energy_25km_past_7d,0.021594196235000796
local_log10_energy_50km_past_1d,0.01998532700259927
local_log10_energy_25km_past_30d,0.0198688800486288
latitude,0.019006674805076913
local_log10_energy_50km_past_30d,0.018460753429135026
local_log10_energy_50km_past_7d,0.01511108605217968
local_log10_energy_10km_past_1d,0.014590321576691212
local_max_mag_25km_past_1d,0.013251141360971365
local_max_mag_50km_past_1d,0.013083766234862697
local_log10_energy_100km_past_1d,0.01278392737602537
event_dayofyear,0.012333306224963357
local_max_mag_25km_past_30d,0.011841931904125066
events_past_7d,0.011577775645420792
events_past_1d,0.01140198110795922
events_past_30d,0.011138990184057404
local_log10_energy_10km_past_30d,0.01090292307805807
local_log10_energy_100km_past_7d,0.010786069644585986
depth_km,0.010443570364643339
local_max_mag_50km_past_30d,0.010440585000915267
parent_depth_km,0.010114891070658638
local_log10_energy_10km_past_7d,0.010038394513032251
local_max_mag_25km_past_7d,0.009828361863554708
local_log10_energy_100km_past_30d,0.009230038018282307
local_max_mag_50km_past_7d,0.00867568236371942
longitude,0.008531273003341324
parent_magnitude,0.007966122132667596
local_max_mag_10km_past_1d,0.007399870773362916
local_events_50km_past_1d,0.007116292460527946
local_events_100km_past_30d,0.007101744357844973
local_events_100km_past_7d,0.007043406863226628
local_events_100km_past_1d,0.007035400711744328
local_events_25km_past_1d,0.006733856605985232
local_events_10km_past_1d,0.006586247784454867
local_events_50km_past_7d,0.006547294121090945
local_events_50km_past_30d,0.006509309576869921
local_events_10km_past_7d,0.006481500613378597
event_month,0.006398801864310488
local_events_25km_past_30d,0.006393991670305977
local_events_25km_past_7d,0.006241299337815259
local_events_10km_past_30d,0.005987039841470089
local_max_mag_100km_past_1d,0.005914504350175387
nearest_recent_event_distance_km_past_30d,0.00516278871228414
nearest_recent_event_magnitude_past_30d,0.005088168901620054
event_hour,0.004782103351385393
local_max_mag_100km_past_7d,0.004773762852248953
local_max_mag_100km_past_30d,0.004074235815999391
local_max_mag_10km_past_30d,0.003894602966770947
local_max_mag_10km_past_7d,0.003434821972115812
event_weekday,0.003416952103778853
event_year,0.0023626636182017724
has_parent,0.0
